,id,age,sex,city,country,followers_count,last_seen,costs_to_rur,games
0,19,19,женский,санкт-петербург,россия,39326,03.09.2022,25000.0,Dota 2
1,19,19,женский,санкт-петербург,россия,39326,03.09.2022,25000.0,CS:GO
2,19,19,женский,санкт-петербург,россия,39326,03.09.2022,25000.0,Warcraft III
3,510,39,мужской,город не указан,россия,19698,24.08.2022,50000.0,League of Legends
4,510,39,мужской,город не указан,россия,19698,24.08.2022,50000.0,Valorant
5,510,39,мужской,город не указан,россия,19698,24.08.2022,50000.0,Apex Legends
6,674,45,мужской,новосибирск,россия,,03.09.2022,75000.0,Fortnite
7,1018,22,мужской,санкт-петербург,россия,,19.02.2021,100000.0,PUBG
8,1018,22,мужской,санкт-петербург,россия,,19.02.2021,100000.0,Hearthstone
9,1018,22,мужской,санкт-петербург,россия,,19.02.2021,100000.0,Overwatch
10,1586,35,мужской,город не указан,россия,31433,27.04.2021,100000.0,FIFA
11,1699,29,мужской,москва,россия,64917,18.01.2022,100000.0,StarCraft 2
12,1699,29,мужской,москва,россия,64917,18.01.2022,100000.0,Warface
13,1699,29,мужской,москва,россия,64917,18.01.2022,100000.0,Free Fire
14,1775,45,мужской,москва,россия,,03.09.2022,25000.0,Dota Underlords
15,1775,45,мужской,москва,россия,,03.09.2022,25000.0,Quake Champions
16,1775,45,мужской,москва,россия,,03.09.2022,25000.0,Heroes of the Storm
17,1852,35,мужской,москва,россия,926,19.05.2020,25000.0,Dota 2
18,2022,45,мужской,москва,россия,140969,03.09.2022,25000.0,CS:GO
19,3006,45,мужской,саратов,россия,32364,14.07.2022,25000.0,Warcraft III
20,3422,24,мужской,санкт-петербург,россия,5835,24.08.2022,25000.0,League of Legends
21,3443,36,мужской,санкт-петербург,россия,1581,03.09.2022,25000.0,Valorant
22,3450,19,мужской,москва,россия,40658,24.06.2022,25000.0,Apex Legends
23,4234,24,мужской,foster city,сша,,03.09.2022,150000.0,PUBG
24,4236,26,мужской,донецк,украина,6028,03.09.2022,25000.0,Hearthstone
25,4689,38,мужской,москва,россия,17611,03.09.2022,25000.0,Overwatch
26,4731,38,мужской,санкт-петербург,россия,60514,28.06.2022,25000.0,StarCraft 2
27,5394,27,мужской,саратов,россия,20276,03.09.2022,25000.0,Warface
28,6403,38,мужской,санкт-петербург,россия,,30.08.2022,25000.0,Free Fire
29,7226,38,женский,город не указан,россия,22127,01.09.2022,25000.0,Dota Underlords
30,7408,45,женский,москва,россия,,03.09.2022,25000.0,Quake Champions
31,7579,45,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Heroes of the Storm
32,7982,38,женский,москва,россия,112016,03.09.2022,25000.0,Warcraft III
33,7982,38,женский,москва,россия,112016,03.09.2022,25000.0,StarCraft 2
34,8074,38,мужской,москва,россия,971,03.09.2022,25000.0,Dota 2
35,8074,38,мужской,москва,россия,971,03.09.2022,25000.0,CS:GO
36,8244,38,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Dota 2
37,8244,38,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Dota Underlords
38,8298,22,мужской,нижний новгород,россия,18470,13.03.2017,25000.0,CS:GO
39,8436,22,женский,город не указан,россия,29648,31.08.2022,25000.0,CS:GO
40,8485,27,мужской,рязань,россия,3122,03.09.2022,25000.0,Dota 2
41,8727,22,мужской,город не указан,россия,17302,03.09.2022,25000.0,Dota 2
42,8736,22,мужской,санкт-петербург,россия,,03.09.2022,25000.0,Dota 2
43,8752,19,мужской,ивано-франковск,украина,,02.09.2022,25000.0,Dota 2
44,9110,45,мужской,санкт-петербург,россия,,03.09.2022,100000.0,Dota 2
45,9571,45,мужской,москва,россия,15152,03.09.2022,100000.0,Overwatch
46,9699,22,женский,phuket,таиланд,22266,05.04.2020,25000.0,Overwatch
47,9731,35,женский,санкт-петербург,россия,4070,03.09.2022,100000.0,Overwatch
48,10480,22,мужской,москва,россия,,02.09.2022,100000.0,Warcraft III
49,10484,112,мужской,москва,россия,118,19.07.2022,100000.0,Warcraft III
50,10775,37,мужской,москва,россия,,01.09.2022,25000.0,Warcraft III
51,10990,22,мужской,санкт-петербург,россия,1482,26.10.2021,25000.0,Overwatch
52,11074,36,мужской,санкт-петербург,россия,845,03.09.2022,25000.0,Overwatch
53,11671,41,мужской,москва,россия,381,03.09.2022,25000.0,Dota 2
54,11671,41,мужской,москва,россия,381,03.09.2022,25000.0,CS:GO
55,12018,37,мужской,москва,россия,,24.08.2022,25000.0,Dota 2
56,12018,37,мужской,москва,россия,,24.08.2022,25000.0,CS:GO
57,13331,35,мужской,город не указан,россия,5813,03.09.2022,25000.0,Hearthstone
58,15849,35,мужской,краснодар,россия,322,03.09.2022,25000.0,Hearthstone
59,16095,36,мужской,los angeles,сша,384,03.09.2022,250000.0,Hearthstone
60,16148,45,мужской,москва,россия,1001,03.09.2022,25000.0,FIFA
61,16318,39,мужской,санкт-петербург,россия,779,03.09.2022,25000.0,FIFA
62,17142,35,женский,челябинск,россия,9204,01.09.2022,25000.0,FIFA
63,17223,38,женский,санкт-петербург,россия,1460,03.09.2022,25000.0,FIFA
64,17583,24,женский,pattaya,таиланд,14060,05.04.2020,25000.0,FIFA
65,18088,40,мужской,москва,россия,1037,02.09.2022,25000.0,FIFA
66,18178,19,мужской,санкт-петербург,россия,11283,03.09.2022,25000.0,Hearthstone
67,18747,36,мужской,новосибирск,россия,249,01.09.2022,25000.0,PUBG
68,19326,19,мужской,санкт-петербург,россия,541,03.09.2022,25000.0,PUBG
69,19425,37,мужской,санкт-петербург,россия,725,02.09.2022,25000.0,PUBG
70,19604,36,мужской,город не указан,россия,4453,03.09.2022,25000.0,PUBG
71,19618,36,мужской,санкт-петербург,россия,867,03.09.2022,25000.0,Apex Legends
72,19863,45,женский,новосибирск,россия,15846,03.09.2022,25000.0,CS:GO
73,20397,36,мужской,санкт-петербург,россия,7961,02.09.2022,25000.0,CS:GO
74,21025,24,мужской,москва,россия,194,31.08.2022,25000.0,CS:GO
75,21528,45,мужской,санкт-петербург,россия,424,03.09.2022,25000.0,Apex Legends
76,23626,45,мужской,москва,россия,,03.09.2022,25000.0,Apex Legends
77,23994,39,мужской,санкт-петербург,россия,692,03.09.2022,25000.0,Dota 2
78,24577,34,мужской,улан-удэ,россия,982,03.09.2022,25000.0,Dota 2
79,24781,39,мужской,город не указан,россия,1612,03.09.2022,25000.0,Dota 2
