id,age,sex,city,country,followers_count,last_seen,costs_to_rur,games
19,19,женский,санкт-петербург,россия,39326,03.09.2022,25000.0,Dota 2
19,19,женский,санкт-петербург,россия,39326,03.09.2022,25000.0,CS:GO
19,19,женский,санкт-петербург,россия,39326,03.09.2022,25000.0,Warcraft III
510,39,мужской,город не указан,россия,19698,24.08.2022,50000.0,League of Legends
510,39,мужской,город не указан,россия,19698,24.08.2022,50000.0,Valorant
510,39,мужской,город не указан,россия,19698,24.08.2022,50000.0,Apex Legends
674,45,мужской,новосибирск,россия,,03.09.2022,75000.0,Fortnite
1018,22,мужской,санкт-петербург,россия,,19.02.2021,100000.0,PUBG
1018,22,мужской,санкт-петербург,россия,,19.02.2021,100000.0,Hearthstone
1018,22,мужской,санкт-петербург,россия,,19.02.2021,100000.0,Overwatch
1586,35,мужской,город не указан,россия,31433,27.04.2021,100000.0,FIFA
1699,29,мужской,москва,россия,64917,18.01.2022,100000.0,StarCraft 2
1699,29,мужской,москва,россия,64917,18.01.2022,100000.0,Warface
1699,29,мужской,москва,россия,64917,18.01.2022,100000.0,Free Fire
1775,45,мужской,москва,россия,,03.09.2022,25000.0,Dota Underlords
1775,45,мужской,москва,россия,,03.09.2022,25000.0,Quake Champions
1775,45,мужской,москва,россия,,03.09.2022,25000.0,Heroes of the Storm
1852,35,мужской,москва,россия,926,19.05.2020,25000.0,Dota 2
2022,45,мужской,москва,россия,140969,03.09.2022,25000.0,CS:GO
3006,45,мужской,саратов,россия,32364,14.07.2022,25000.0,Warcraft III
3422,24,мужской,санкт-петербург,россия,5835,24.08.2022,25000.0,League of Legends
3443,36,мужской,санкт-петербург,россия,1581,03.09.2022,25000.0,Valorant
3450,19,мужской,москва,россия,40658,24.06.2022,25000.0,Apex Legends
4234,24,мужской,foster city,сша,,03.09.2022,150000.0,PUBG
4236,26,мужской,донецк,украина,6028,03.09.2022,25000.0,Hearthstone
4689,38,мужской,москва,россия,17611,03.09.2022,25000.0,Overwatch
4731,38,мужской,санкт-петербург,россия,60514,28.06.2022,25000.0,StarCraft 2
